#########################################
# Sukka's Ruleset - Anti Bogus Domain
# Last Updated: 2025-05-18T12:40:57.578Z
# Size: 153
# License: AGPL 3.0
# Homepage: https://ruleset.skk.moe
# GitHub: https://github.com/SukkaW/Surge
#
# This file contains known addresses that are hijacking NXDOMAIN results returned by DNS servers, and botnet controller IPs.
#
# Data from:
#  - https://github.com/felixonmars/dnsmasq-china-list
#  - https://github.com/curbengh/botnet-filter
#########################################
DOMAIN,th1s_rule5et_1s_m4d3_by_5ukk4w_ruleset.skk.moe
IP-CIDR,183.224.40.24/32,no-resolve
IP-CIDR,198.105.254.11/32,no-resolve
IP-CIDR,202.98.24.121/32,no-resolve
IP-CIDR,202.98.24.122/31,no-resolve
IP-CIDR,202.98.24.124/31,no-resolve
IP-CIDR,202.99.254.230/31,no-resolve
IP-CIDR,202.99.254.232/32,no-resolve
IP-CIDR,202.100.68.117/32,no-resolve
IP-CIDR,202.100.220.54/32,no-resolve
IP-CIDR,202.102.110.203/32,no-resolve
IP-CIDR,202.102.110.204/31,no-resolve
IP-CIDR,202.106.199.34/31,no-resolve
IP-CIDR,202.106.199.36/31,no-resolve
IP-CIDR,202.106.199.38/32,no-resolve
IP-CIDR,211.98.70.226/31,no-resolve
IP-CIDR,211.98.71.195/32,no-resolve
IP-CIDR,211.136.113.1/32,no-resolve
IP-CIDR,211.137.130.101/32,no-resolve
IP-CIDR,211.138.74.132/32,no-resolve
IP-CIDR,211.138.102.198/32,no-resolve
IP-CIDR,211.139.136.73/32,no-resolve
IP-CIDR,218.28.144.36/30,no-resolve
IP-CIDR,218.28.144.40/31,no-resolve
IP-CIDR,218.28.144.42/32,no-resolve
IP-CIDR,218.30.64.194/32,no-resolve
IP-CIDR,218.68.250.117/32,no-resolve
IP-CIDR,218.68.250.118/31,no-resolve
IP-CIDR,218.68.250.120/31,no-resolve
IP-CIDR,218.93.127.37/32,no-resolve
IP-CIDR,219.146.13.36/32,no-resolve
IP-CIDR,220.115.251.25/32,no-resolve
IP-CIDR,220.165.8.172/32,no-resolve
IP-CIDR,220.165.8.174/32,no-resolve
IP-CIDR,220.196.52.141/32,no-resolve
IP-CIDR,220.250.64.18/31,no-resolve
IP-CIDR,220.250.64.20/30,no-resolve
IP-CIDR,220.250.64.24/30,no-resolve
IP-CIDR,220.250.64.28/31,no-resolve
IP-CIDR,220.250.64.30/32,no-resolve
IP-CIDR,220.250.64.225/32,no-resolve
IP-CIDR,220.250.64.226/31,no-resolve
IP-CIDR,220.250.64.228/32,no-resolve
IP-CIDR,221.6.4.148/32,no-resolve
IP-CIDR,221.179.46.190/32,no-resolve
IP-CIDR,221.179.46.194/32,no-resolve
IP-CIDR,221.179.131.72/32,no-resolve
IP-CIDR,221.179.140.145/32,no-resolve
IP-CIDR,221.192.153.41/32,no-resolve
IP-CIDR,221.192.153.42/31,no-resolve
IP-CIDR,221.192.153.44/31,no-resolve
IP-CIDR,221.192.153.46/32,no-resolve
IP-CIDR,221.192.153.49/32,no-resolve
IP-CIDR,221.204.244.36/30,no-resolve
IP-CIDR,221.204.244.40/31,no-resolve
IP-CIDR,221.228.17.152/32,no-resolve
IP-CIDR,221.228.32.13/32,no-resolve
IP-CIDR,221.231.6.79/32,no-resolve
IP-CIDR,222.73.156.235/32,no-resolve
IP-CIDR,222.186.61.91/32,no-resolve
IP-CIDR,222.186.61.95/32,no-resolve
IP-CIDR,222.186.61.96/31,no-resolve
IP-CIDR,222.221.5.204/32,no-resolve
IP-CIDR,222.221.5.252/31,no-resolve
IP-CIDR,223.82.248.117/32,no-resolve
IP-CIDR,0.0.0.0/24
IP-ASN,1012
IP-ASN,945
IP-ASN,401111
IP-ASN,62853
IP-ASN,7719
IP-ASN,54625
IP-ASN,7257
IP-ASN,18044
IP-ASN,62489
IP-ASN,5111
IP-ASN,14651
IP-ASN,7480
IP-ASN,61302
IP-ASN,44324
IP-ASN,53808
IP-ASN,60539
IP-ASN,60842
IP-ASN,140915
IP-ASN,40115
################## EOF ##################
